"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","arc_length","Points:0","Points:1","Points:2"
0.040481,0.040481,0,-1.4535e-13,-1.4535e-13,-1.4535e-13,5.5546,1.4947,0.12144,0
0.024194,0.024194,0,-1.1676e-13,-1.1676e-13,-1.1676e-13,5.6036,1.498,0.072583,0
0.019978,0.019978,0,-1.1438e-13,-1.1438e-13,-1.1438e-13,5.6163,1.4987,0.059934,0
0.016494,0.016494,0,-1.1032e-13,-1.1032e-13,-1.1032e-13,5.6267,1.4989,0.049483,0
-0.0081152,-0.0081152,0,-7.5273e-14,-7.5273e-14,-7.5273e-14,5.7006,1.4994,-0.024346,0
-0.023038,-0.023038,0,-5.93e-14,-5.93e-14,-5.93e-14,5.7454,1.4977,-0.069114,0
-0.034826,-0.034826,0,-4.7757e-14,-4.7757e-14,-4.7757e-14,5.7808,1.4958,-0.10448,0
-0.043233,-0.043233,0,-2.3779e-14,-2.3779e-14,-2.3779e-14,5.8061,1.4938,-0.1297,0
-0.059166,-0.059166,0,-1.3823e-14,-1.3823e-14,-1.3823e-14,5.8541,1.4892,-0.1775,0
-0.069743,-0.069743,0,1.5307e-15,1.5307e-15,1.5307e-15,5.8861,1.4848,-0.20923,0
-0.08712,-0.08712,0,8.2735e-15,8.2735e-15,8.2735e-15,5.9389,1.4768,-0.26136,0
-0.094221,-0.094221,0,2.0886e-14,2.0886e-14,2.0886e-14,5.9605,1.4729,-0.28266,0
-0.10245,-0.10245,0,3.0447e-14,3.0447e-14,3.0447e-14,5.9857,1.4678,-0.30735,0
-0.11698,-0.11698,0,5.663e-14,5.663e-14,5.663e-14,6.0303,1.4584,-0.35093,0
-0.11701,-0.11701,0,5.6675e-14,5.6675e-14,5.6675e-14,6.0304,1.4583,-0.35103,0
-0.11725,-0.11725,0,5.6989e-14,5.6989e-14,5.6989e-14,6.0312,1.4582,-0.35176,0
-0.1358,-0.1358,0,7.189e-14,7.189e-14,7.189e-14,6.0887,1.4434,-0.4074,0
-0.13816,-0.13816,0,7.3649e-14,7.3649e-14,7.3649e-14,6.0961,1.4414,-0.41448,0
