"psi","forces:0","forces:1","forces:2","vort","mu","rho","temperature","pressure","velocity:0","velocity:1","velocity:2","ALE_velocity:0","ALE_velocity:1","ALE_velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.61479,0,0,0,7.298,0,0,-0.00041055,0,3.056,0.012634,0,0,0,0,1,0.178,5,0.178,0
0.61786,0,0,0,7.3694,0,0,-0.00039672,0,3.0485,0.01314,0,0,0,0,1,0.179,5,0.179,0
0.62092,0,0,0,7.4408,0,0,-0.00038289,0,3.0411,0.013645,0,0,0,0,1,0.18,5,0.18,0
0.62399,0,0,0,7.5122,0,0,-0.00036905,0,3.0337,0.014151,0,0,0,0,1,0.181,5,0.181,0
0.62705,0,0,0,7.5836,0,0,-0.00035522,0,3.0263,0.014656,0,0,0,0,1,0.182,5,0.182,0
0.63012,0,0,0,7.6549,0,0,-0.00034139,0,3.0188,0.015161,0,0,0,0,1,0.183,5,0.183,0
0.63318,0,0,0,7.7263,0,0,-0.00032756,0,3.0114,0.015667,0,0,0,0,1,0.184,5,0.184,0
0.63624,0,0,0,7.7977,0,0,-0.00031373,0,3.004,0.016172,0,0,0,0,1,0.185,5,0.185,0
0.63931,0,0,0,7.8691,0,0,-0.00029989,0,2.9966,0.016678,0,0,0,0,1,0.186,5,0.186,0
0.64237,0,0,0,7.9405,0,0,-0.00028606,0,2.9891,0.017183,0,0,0,0,1,0.187,5,0.187,0
0.64544,0,0,0,8.0119,0,0,-0.00027223,0,2.9817,0.017688,0,0,0,0,1,0.188,5,0.188,0
0.6485,0,0,0,8.0833,0,0,-0.0002584,0,2.9743,0.018194,0,0,0,0,1,0.189,5,0.189,0
0.65157,0,0,0,8.1547,0,0,-0.00024456,0,2.9668,0.018699,0,0,0,0,1,0.19,5,0.19,0
0.65463,0,0,0,8.2261,0,0,-0.00023073,0,2.9594,0.019205,0,0,0,0,1,0.191,5,0.191,0
0.6577,0,0,0,8.2974,0,0,-0.0002169,0,2.952,0.01971,0,0,0,0,1,0.192,5,0.192,0
0.66076,0,0,0,8.3688,0,0,-0.00020307,0,2.9446,0.020216,0,0,0,0,1,0.193,5,0.193,0
0.66382,0,0,0,8.4402,0,0,-0.00018924,0,2.9371,0.020721,0,0,0,0,1,0.194,5,0.194,0
0.66689,0,0,0,8.5116,0,0,-0.0001754,0,2.9297,0.021226,0,0,0,0,1,0.195,5,0.195,0
0.66995,0,0,0,8.583,0,0,-0.00016157,0,2.9223,0.021732,0,0,0,0,1,0.196,5,0.196,0
0.67302,0,0,0,8.6544,0,0,-0.00014774,0,2.9148,0.022237,0,0,0,0,1,0.197,5,0.197,0
0.67608,0,0,0,8.7258,0,0,-0.00013391,0,2.9074,0.022743,0,0,0,0,1,0.198,5,0.198,0
0.67897,0,0,0,8.8046,0,0,-0.0001264,0,2.8984,0.023392,0,0,0,0,1,0.199,5,0.199,0
0.68168,0,0,0,8.8912,0,0,-0.00012559,0,2.8876,0.024195,0,0,0,0,1,0.2,5,0.2,0
0.68439,0,0,0,8.9778,0,0,-0.00012478,0,2.8769,0.024997,0,0,0,0,1,0.201,5,0.201,0
0.6871,0,0,0,9.0644,0,0,-0.00012398,0,2.8662,0.025799,0,0,0,0,1,0.202,5,0.202,0
0.68981,0,0,0,9.151,0,0,-0.00012317,0,2.8555,0.026602,0,0,0,0,1,0.203,5,0.203,0
0.69252,0,0,0,9.2377,0,0,-0.00012236,0,2.8447,0.027404,0,0,0,0,1,0.204,5,0.204,0
0.69523,0,0,0,9.3243,0,0,-0.00012155,0,2.834,0.028207,0,0,0,0,1,0.205,5,0.205,0
0.69794,0,0,0,9.4109,0,0,-0.00012074,0,2.8233,0.029009,0,0,0,0,1,0.206,5,0.206,0
0.70065,0,0,0,9.4975,0,0,-0.00011994,0,2.8125,0.029811,0,0,0,0,1,0.207,5,0.207,0
0.70336,0,0,0,9.5842,0,0,-0.00011913,0,2.8018,0.030614,0,0,0,0,1,0.208,5,0.208,0
0.70607,0,0,0,9.6708,0,0,-0.00011832,0,2.7911,0.031416,0,0,0,0,1,0.209,5,0.209,0
0.70878,0,0,0,9.7574,0,0,-0.00011751,0,2.7803,0.032219,0,0,0,0,1,0.21,5,0.21,0
0.71149,0,0,0,9.844,0,0,-0.0001167,0,2.7696,0.033021,0,0,0,0,1,0.211,5,0.211,0
0.71419,0,0,0,9.9307,0,0,-0.00011589,0,2.7589,0.033823,0,0,0,0,1,0.212,5,0.212,0
0.7169,0,0,0,10.017,0,0,-0.00011509,0,2.7481,0.034626,0,0,0,0,1,0.213,5,0.213,0
0.71961,0,0,0,10.104,0,0,-0.00011428,0,2.7374,0.035428,0,0,0,0,1,0.214,5,0.214,0
