"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","Points:0","Points:1","Points:2"
1.0657,-0,0,2.6591,2.6591,0.36213,5.5165,0.70606,0
1.0744,0,0,2.6379,2.6379,0.3606,5.0194,0.70606,0
1.1239,-0,0,0.013,0.013,0.27836,0.29277,0.70726,0
1.0194,0,0,2.7702,2.7702,0.37049,9.7072,0.70726,0
1.7571,-0,0,0.97255,0.97255,0.085064,9.7066,0.30529,0
1.1037,-0,0,-0.018725,-0.018725,0.05099,0.29339,0.30529,0
0.90757,0,0,2.9789,2.9789,0.40039,8.9591,0.75097,0
1.1469,-0,0,1.9085,1.9085,0.356,1.0409,0.75097,0
0.88348,0,0,3.0301,3.0301,0.40597,8.425,0.7599,0
1.0749,-0,0,2.5568,2.5568,0.37547,1.575,0.7599,0
1.671,-0,0,0.27295,0.27295,0.051197,4.2748,0.24979,0
1.6348,-0,0,0.19888,0.19888,0.049914,3.7391,0.2499,0
1.7676,0,0,0.50537,0.50537,0.054612,6.2609,0.2499,0
1.6526,0,0,0.33646,0.33646,0.052401,4.765,0.25028,0
1.0657,-0,0,2.6658,2.6658,0.37615,2.112,0.75104,0
0.91956,-0,0,2.9741,2.9741,0.39929,7.888,0.75104,0
1.0302,-0,0,2.7885,2.7885,0.38156,2.648,0.75106,0
0.9202,-0,0,2.9789,2.9789,0.39859,7.352,0.75106,0
1.0071,-0,0,2.8602,2.8602,0.38564,3.1839,0.75108,0
0.92626,-0,0,2.976,2.976,0.39779,6.8161,0.75108,0
0.98768,-0,0,2.9044,2.9044,0.38875,3.7198,0.7511,0
0.93345,-0,0,2.9738,2.9738,0.39682,6.2802,0.7511,0
0.97159,-0,0,2.9313,2.9313,0.3912,4.2557,0.7511,0
